"id","word","written_freq","spoken_freq","zhuyin","pinyin","tags"
167,"月",463,737,"ㄩㄝˋ","yuè","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
168,"再見",19,27,"ㄗㄞˋ ㄐㄧㄢˋ","zàijiàn","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
169,"早",248,240,"ㄗㄠˇ","zǎo","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
170,"早安",6,4,"ㄗㄠˇ ㄢ","zǎoān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
171,"早上",103,130,"ㄗㄠˇ ㄕㄤˋ","zǎoshàng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
172,"怎麼",570,1269,"ㄗㄣˇ ˙ㄇㄜ","zěnme","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
173,"找",489,477,"ㄓㄠˇ","zhǎo","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
174,"這/這裡/這裏/這兒",8975,15872,"ㄓㄜˋ/ㄓㄜˋ ㄌㄧˇ/ㄓㄜˋ ㄦ","zhè/zhèlǐ/zhèr","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
175,"知道",1488,1666,"ㄓ ㄉㄠˋ","zhīdào","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
176,"中文",36,38,"ㄓㄨㄥ ㄨㄣˊ","zhōngwén","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
177,"中午",30,41,"ㄓㄨㄥ ㄨˇ","zhōngwǔ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
178,"字",284,171,"ㄗˋ","zì","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
179,"走",545,643,"ㄗㄡˇ","zǒu","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
180,"做",1808,3593,"ㄗㄨㄛˋ","zuò","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
181,"坐",406,240,"ㄗㄨㄛˋ","zuò","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
182,"昨天",53,84,"ㄗㄨㄛˊ ㄊㄧㄢ","zuótiān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
183,"矮",29,13,"ㄞˇ","ǎi","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
184,"白",208,167,"ㄅㄞˊ","bái","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
185,"飽",17,38,"ㄅㄠˇ","bǎo","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
186,"包子",4,2,"ㄅㄠ ˙ㄗ","bāozi","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-food-dining"
187,"杯子/杯",108,118,"ㄅㄟ ˙ㄗ / ㄅㄟ","bēizi / bēi","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
188,"鼻子/鼻",69,31,"ㄅㄧˊ ˙ㄗ / ㄅㄧˊ","bízi / bí","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
189,"筆",123,82,"ㄅㄧˇ","bǐ","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
190,"比",728,555,"ㄅㄧˇ","bǐ","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
191,"邊",515,454,"ㄅㄧㄢ","biān","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
192,"別",306,142,"ㄅㄧㄝˊ","bié","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
193,"冰",31,105,"ㄅㄧㄥ","bīng","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-food-dining"
194,"病",131,149,"ㄅㄧㄥˋ","bìng","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
195,"不錯",97,204,"ㄅㄨˊ ㄘㄨㄛˋ","búcuò","UC::TBCL-level-1-star, UC::TBCL-basic, UC::TBCL-context-core"
